Column1,时间,发电机最大相对功角,最低节点电压,最高节点电压,最低节点频率,最高节点频率
546,270,124.34,0.8514,1.2481,49.4,49.4
547,270.5,124.33,0.8514,1.2482,49.4,49.4
548,271,124.32,0.8515,1.2482,49.4,49.4
549,271.5,124.31,0.8515,1.2483,49.4,49.4
550,272,124.3,0.8516,1.2484,49.4,49.4
551,272.5,124.29,0.8516,1.2485,49.4,49.4
552,273,124.29,0.8517,1.2486,49.4,49.4
553,273.5,124.28,0.8517,1.2487,49.4,49.4
554,274,124.27,0.8518,1.2487,49.4,49.4
555,274.5,124.26,0.8518,1.2488,49.4,49.4
556,275,124.25,0.8519,1.2489,49.4,49.4
557,275.5,124.24,0.8519,1.249,49.4,49.4
558,276,124.23,0.852,1.249,49.4,49.4
559,276.5,124.22,0.852,1.2491,49.4,49.4
560,277,124.21,0.8521,1.2492,49.4,49.4
561,277.5,124.19,0.8521,1.2492,49.4,49.4
562,278,124.18,0.8522,1.2493,49.4,49.4
563,278.5,124.17,0.8522,1.2494,49.4,49.4
564,279,124.16,0.8523,1.2494,49.4,49.4
565,279.5,124.22,0.8523,1.2495,49.4,49.4
566,280,124.33,0.8524,1.2495,49.4,49.4
567,280.5,124.44,0.8524,1.2496,49.4,49.4
568,281,124.56,0.8525,1.2496,49.4,49.4
569,281.5,124.67,0.8525,1.2497,49.4,49.4
570,282,124.78,0.8526,1.2497,49.4,49.4
571,282.5,124.89,0.8526,1.2498,49.4,49.4
572,283,125.01,0.8527,1.2498,49.4,49.4
573,283.5,125.12,0.8527,1.2499,49.4,49.4
574,284,125.23,0.8528,1.2499,49.4,49.4
575,284.5,125.34,0.8528,1.25,49.4,49.4
576,285,125.46,0.8529,1.25,49.4,49.4
577,285.5,125.57,0.8529,1.25,49.4,49.4
578,286,125.68,0.853,1.2501,49.4,49.4
579,286.5,125.8,0.853,1.2501,49.4,49.4
580,287,125.91,0.8531,1.2501,49.4,49.4
581,287.5,126.02,0.8531,1.2502,49.4,49.4
582,288,126.14,0.8532,1.2502,49.4,49.4
583,288.5,126.25,0.8532,1.2502,49.4,49.4
584,289,126.37,0.8533,1.2502,49.4,49.4
585,289.5,126.48,0.8533,1.2503,49.4,49.4
586,290,126.6,0.8534,1.2503,49.4,49.4
587,290.5,126.71,0.8534,1.2503,49.4,49.4
588,291,126.83,0.8535,1.2503,49.4,49.4
589,291.5,126.95,0.8535,1.2503,49.4,49.4
590,292,127.06,0.8536,1.2503,49.4,49.4
591,292.5,127.18,0.8536,1.2504,49.4,49.4
592,293,127.3,0.8537,1.2504,49.4,49.4
593,293.5,127.42,0.8537,1.2504,49.4,49.4
594,294,127.54,0.8538,1.2504,49.4,49.4
595,294.5,127.66,0.8538,1.2504,49.4,49.4
596,295,127.78,0.8539,1.2504,49.4,49.4
597,295.5,127.9,0.8539,1.2504,49.4,49.4
598,296,128.02,0.854,1.2504,49.4,49.4
599,296.5,128.14,0.854,1.2504,49.4,49.4
